Justice,Description,President,Trivial Facts, , , , ,,,,,,,,,,,,,,,,,
Harry Blackmun,"Harry Blackmun (Justice #98) was born in MN and served on the Supreme Court during the years 1970?1994
(23?24 years)",Richard M. Nixon,,,,,,,,,,,,,,,,,,,,,,
"Lewis F. Powell, Jr.","Lewis F. Powell, Jr. (Justice #99) was born in VA and served on the Supreme Court during the years 1972?1987
(14?15 years)",Richard M. Nixon,,,,,,,,,,,,,,,,,,,,,,
William Rehnquist¢Ó,"William Rehnquist¢Ó (Justice #100) was born in AZ
VA[n 11] and served on the Supreme Court during the years 1972?2005
(32?33 years)",Richard M. Nixon,,,,,,,,,,,,,,,,,,,,,,
John Paul Stevens,"John Paul Stevens (Justice #101) was born in IL and served on the Supreme Court during the years 1975?2010
(34?35 years)",Gerald R. Ford,,,,,,,,,,,,,,,,,,,,,,
Sandra Day O'Connor,"Sandra Day O'Connor (Justice #102) was born in AZ and served on the Supreme Court during the years 1981?2006
(24?25 years)",Ronald Reagan,First woman justice: Sandra Day O'Connor,,,,,,,,,,,,,,,,,,,,,
Antonin Scalia,"Antonin Scalia (Justice #103) was born in VA and served on the Supreme Court during the years 1986?2016
(29?30 years)",Ronald Reagan,,,,,,,,,,,,,,,,,,,,,,
Anthony Kennedy,"Anthony Kennedy (Justice #104) was born in CA and served on the Supreme Court during the years 1988?present
(27?28 years)",John F. Kennedy,,,,,,,,,,,,,,,,,,,,,,
David Souter,"David Souter (Justice #105) was born in NH and served on the Supreme Court during the years 1990?2009
(18?19 years)",George H. W. Bush,,,,,,,,,,,,,,,,,,,,,,
Clarence Thomas,"Clarence Thomas (Justice #106) was born in GA and served on the Supreme Court during the years 1991?present
(24?25 years)",George H. W. Bush,,,,,,,,,,,,,,,,,,,,,,
Ruth Bader Ginsburg,"Ruth Bader Ginsburg (Justice #107) was born in DC and served on the Supreme Court during the years 1993?present
(22?23 years)",Bill Clinton,,,,,,,,,,,,,,,,,,,,,,
Stephen Breyer,"Stephen Breyer (Justice #108) was born in MA and served on the Supreme Court during the years 1994?present
(21?22 years)",Bill Clinton,,,,,,,,,,,,,,,,,,,,,,
John G. Roberts¢Ó¢Ó,"John G. Roberts¢Ó¢Ó (Justice #109) was born in MD and served on the Supreme Court during the years 2005?present
(10?11 years)",George W. Bush,,,,,,,,,,,,,,,,,,,,,,
Samuel Alito,"Samuel Alito (Justice #110) was born in NJ and served on the Supreme Court during the years 2006?present
(9?10 years)",George W. Bush,,,,,,,,,,,,,,,,,,,,,,
Sonia Sotomayor,"Sonia Sotomayor (Justice #111) was born in NY and served on the Supreme Court during the years 2009?present
(6?7 years)",Barack Obama,First Hispanic justice: Sonia Sotomayor,,,,,,,,,,,,,,,,,,,,,
Elena Kagan,"Elena Kagan (Justice #112) was born in MA and served on the Supreme Court during the years 2010?present
(5?6 years)",Barack Obama,,,,,,,,,,,,,,,,,,,,,,
